content,label
This is a human-written text.,1
AI-generated text can be quite interesting.,1
Humans are creative beings.,1
The AI model generated this text.,1
Programming languages are created by humans.,1
Artificial Intelligence is transforming industries.,1
I enjoy writing code.,1
This sentence was written by a human.,1
The future of AI is promising.,1
Machine learning models require training data.,1
"Hello, how are you?",1
This sentence was generated by a language model.,1
I enjoy hiking in the mountains.,1
AI technology is advancing rapidly.,1
Programming is a fun and challenging skill to learn.,1
The quick brown fox jumps over the lazy dog.,1
Automated systems are becoming more prevalent in various industries.,1
I love playing musical instruments.,1
Machine learning algorithms can analyze large datasets.,1
Python is a popular programming language.,1
The Earth revolves around the Sun.,1
Artificial intelligence is transforming healthcare.,1
Cooking is a creative and rewarding activity.,1
Deep learning models can achieve state-of-the-art performance.,1
I prefer reading books over watching movies.,1
Robots are used in manufacturing for efficiency.,1
Rainforests are essential for biodiversity.,1
Natural language processing enables computers to understand human language.,1
I enjoy spending time with my family.,1
Blockchain technology is changing the finance industry.,1
I like to travel and explore new cultures.,1
Self-driving cars use advanced sensors and algorithms.,1
Coding is an essential skill for data science.,1
The concept of time travel is fascinating.,1
Generative adversarial networks (GANs) are used in image synthesis.,1
I believe in lifelong learning.,1
Renewable energy is crucial for a sustainable future.,1
Artificial neural networks are inspired by the human brain.,1
I am passionate about environmental conservation.,1
Space exploration opens up new possibilities for humanity.,1
Reinforcement learning is used in training autonomous agents.,1
I enjoy playing team sports.,1
Climate change is a global challenge that requires collective action.,1
Quantum computing has the potential to revolutionize computation.,1
I like to experiment with new recipes in the kitchen.,1
Augmented reality enhances the user experience in various applications.,1
I appreciate the beauty of nature.,1
Big data analytics helps organizations make informed decisions.,1
I believe in the importance of empathy.,1
Virtual reality technology is used in gaming and simulations.,1
Healthy eating contributes to overall well-being.,1
Cloud computing provides scalable and flexible solutions.,1
I find inspiration in art and creativity.,1
Natural disasters can have devastating effects on communities.,1
Artificial intelligence can be used for image recognition.,1
Yoga and meditation promote mental and physical health.,1
Chatbots are used for customer support and interaction.,1
Learning a new language opens up new perspectives.,1
SpaceX is making advancements in space exploration.,1
The importance of biodiversity in ecosystems.,1
Machine translation systems use neural networks.,1
I enjoy listening to classical music.,1
Blockchain technology ensures secure and transparent transactions.,1
I believe in the power of collaboration.,1
The future of artificial intelligence holds exciting possibilities.,1
Cycling is a great way to stay active and healthy.,1
Predictive analytics helps businesses make informed predictions.,1
I value diversity and inclusion.,1
Speech recognition systems are used in virtual assistants.,1
I find solace in spending time in nature.,1
The role of ethics in artificial intelligence development.,1
I love to experiment with new art forms.,1
Robotics is revolutionizing industries like manufacturing and healthcare.,1
I am passionate about promoting mental health awareness.,1
Quantum cryptography ensures secure communication.,1
I believe in the power of positive thinking.,1
Computer vision technology enables machines to interpret visual information.,1
I enjoy gardening and growing my own vegetables.,1
3D printing technology is used in prototyping and manufacturing.,1
I support sustainable and eco-friendly practices.,1
Natural language generation is used in content creation.,1
I believe in continuous self-improvement.,1
The impact of automation on job markets.,1
I appreciate the simplicity of minimalist design.,1
The integration of artificial intelligence in everyday life.,1
I enjoy watching documentaries about science and technology.,1
Edge computing facilitates faster data processing.,1
I believe in the importance of work-life balance.,1
The use of machine learning in personalized recommendations.,1
I value open-mindedness and tolerance.,1
Renewable energy sources reduce carbon emissions.,1
Natural disasters often require rapid humanitarian response.,1
Speech synthesis technology is used in voice assistants.,1
I find joy in learning about different cultures.,1
The use of drones in agriculture for crop monitoring.,1
I believe in the power of critical thinking.,1
Virtual reality therapy for treating mental health conditions.,1
I enjoy DIY projects and crafting.,1
The impact of social media on society.,1
Predictive maintenance using machine learning in manufacturing.,1
I value honesty and transparency.,1
The concept of universal basic income.,1
Sentiment analysis in social media for brand monitoring.,1
I appreciate the beauty of diverse landscapes.,1
The ethical considerations in AI decision-making.,1
I love solving puzzles and brainteasers.,1
The role of data science in healthcare analytics.,1
I believe in the importance of cultural exchange.,1
The potential of self-driving vehicles to reduce traffic accidents.,1
I enjoy exploring historical landmarks.,1
The application of AI in natural language understanding.,1
I find inspiration in the principles of minimalism.,1
Blockchain in supply chain management for transparency.,1
I value kindness and empathy.,1
The future of quantum computing in solving complex problems.,1
I believe in fostering a sense of community.,1
The use of AI in financial fraud detection.,1
I enjoy outdoor activities like camping and hiking.,1
The challenges of bias in machine learning algorithms.,1
I appreciate the power of storytelling in conveying ideas.,1
The potential of 5G technology in transforming communication.,1
I believe in promoting environmental sustainability.,1
The impact of automation on the future of work.,1
I find inspiration in classical literature.,1
The intersection of AI and human creativity.,1
I enjoy practicing mindfulness and meditation.,1
The role of AI in personalized medicine.,1
I value lifelong learning and continuous education.,1
The application of reinforcement learning in robotics.,1
I believe in the importance of mental health awareness.,1
"I will share today one of the top methods I use to make money online. And few people know about it. Believe me, till the day I wrote this post, I didnt find somebody explaining this the way I will show you today.",0
"Services like keywordtool.io, Answethepublic that shows you question suggestions, Semrush keyword tool, and all other paid and expensive tools use these secret tactics I showed you!",0
"The more that you read, the more things you will know. The more that you learn, the more places you’ll go.",1
"Disclaimer: Please note that this post is for educational purposes only. We kindly ask that you use the information responsibly — more details to follow in the post.",1
"Let me share a story. Last year, I created a website named “seoanalyzer.me.” I didn't build it from scratch; I bought it from codecanyon.The site worked well, but after some time, I faced problems. Changing things on the site or adding new features wasn't easy. That got me thinking: why not make my own tool that does exactly what I want? ",1
"In our case, it is the output of the SEO Audit tool. Then, you ask ChatGPT to help you write the full code to output that JSON.Like Magic, I just searched on Rapid API for an SEO Audit API, got the JSON, copied it, and I passed it to ChatGPT as Input to a prompt.",0
"Chocolate lovers, rejoice! 2023 is shaping up to be a year of innovation and deliciousness in the world of chocolate desserts. From unique flavor combinations to healthy and sustainable options, there's something for everyone to enjoy. Here are the top 5 chocolate dessert trends to watch for in 2023: 1. Plant-based chocolate Plant-based diets are all the rage, and chocolate is no exception. More and more people are looking for ways to enjoy their favorite chocolatey treats without dairy or other animal products. In 2023, expect to see even more plant-based chocolate desserts on menus and in stores. These desserts are made with a variety of plant-based milk and cream alternatives, such as oat milk, almond milk, and coconut milk. They're just as delicious and decadent as traditional chocolate desserts, but they're also better for your health and the environment. 2. Unique flavor combinations Chocolate lovers are always looking for new and exciting flavor combinations. In 2023, expect to see some truly unique pairings on chocolate desserts, like Chocolate and matcha Chocolate and sesame Chocolate and chili pepper Chocolate and olive oil Chocolate and avocado These adventurous combinations are sure to please even the most discerning chocolate lover. 3. Healthy chocolate desserts Yes, you read that right! It's possible to enjoy chocolate desserts without sacrificing your health. In 2023, expect to see more and more healthy chocolate desserts on menus and in stores. These desserts are made with ingredients like whole grains, fruits, and nuts. They're also lower in sugar and fat than traditional chocolate desserts. So, you can indulge your sweet tooth without feeling guilty. 4. Sustainable chocolate desserts Consumers are becoming more and more aware of the environmental impact of their food choices. In 2023, expect to see more and more sustainable chocolate desserts on menus and in stores. These desserts are made with chocolate that is sourced from sustainable farms and produced using sustainable methods. They're also packaged in sustainable materials. So, you can enjoy your chocolate desserts with a clear conscience. 5. Interactive chocolate desserts Desserts are more than just food. They're an experience. In 2023, expect to see more and more interactive chocolate desserts on menus. These desserts are designed to engage all of your senses. They may incorporate elements like smoke, sound, and texture to create a truly memorable experience. So, get ready to be entertained and delighted by the latest chocolate desserts in 2023!",1
"Kitesurfing is a thrilling water sport that combines the elements of kite flying, surfing, and windsurfing. It is a relatively new sport, but it has quickly become one of the most popular water sports in the world. Kitesurfing is powered by a large kite that is controlled by the rider using a harness and control bar. The rider uses the kite to generate power and lift, which propels them across the water on a specially designed board. Kitesurfing can be learned by people of all ages and fitness levels, but it is important to take lessons from a qualified instructor. Kitesurfing can be dangerous if not done properly, so it is important to learn the basics of safety and kite control before venturing out on your own. Your first kitesurfing lesson will typically start with a safety briefing. Your instructor will teach you how to launch and land the kite safely, as well as how to use the safety features on your equipment. Once you have a basic understanding of safety, you will begin to learn how to control the kite on the beach. This will involve learning how to move the kite around in the wind window and how to generate power. Once you are comfortable controlling the kite on the beach, you will be ready to get on the water. Your instructor will teach you how to body drag, which is the first step to learning how to ride the board.",1
"Ah, the sweet and thrilling sport of ice hockey! adjusts pads Hockey is an exhilarating team sport played on frozen ice rinks across the globe. Here's my attempt to verbosely describe this fast-paced, physical, and strategic game:Hockey is a symphony of movement and skill, where players glide effortlessly on their skates while wielding curved sticks that can unleash lightning-fast shots or precise passes. The objective? To score more goals than your opponents by navigating the rink with grace, agility, and cunning. Two teams of six players each compete in a high-stakes battle of endurance, speed, and strategy, as they race around the ice in pursuit of victory.Each player brings their unique skills and strengths to the table – forwards are quick and agile, defensemen are strong and stoic, and goalies are masters of positioning and reflexes. They work together seamlessly, anticipating each other's moves and countermoves like a well-choreographed dance. Players must possess exceptional hand-eye coordination to handle their sticks deftly, expertly controlling the puck (a rubber disc) and executing precise maneuvers at breakneck speeds.In conclusion, hockey is a captivating spectacle that demands respect, athleticism, and camaraderie among its participants. It combines elements of gymnastics, boxing, soccer, and ballet, all rolled into one electrifying display of human performance art. Whether you're new to the sport or a lifelong fanatic, there's no denying the raw energy, excitement, and drama that defines the great game of hockey. So grab your skates, lace up those helmets, and get ready to experience the sheer exhilaration of this beloved winter classic!",1
"Embark on a journey of self-expression and skill monetization through freelancing platforms. Websites like Upwork, Fiverr, and Freelancer provide a virtual marketplace where talents ranging from writing and graphic design to programming and digital marketing are in high demand. Leverage your expertise, set your rates, and engage with a global clientele.",1
"Certainly, I can help you build a function for an SEO audit tool in Python. Please provide the JSON output structure you're aiming for so I can reverse engineer it and write the function accordingly.",0
"Climate change has likely led to the decline of some of Scotland's mountain plants, according to new research.Scientists said many of the species relied on snow cover remaining high on hills until late spring and even summer to ensure a moist environment.They also said plants that thrived on lower ground in warmer conditions were spreading to mountain habitats.Species found to be in decline include snow pearlwort, alpine lady-fern and alpine speedwell.The research by the Botanical Society of Britain and Ireland (BSBI) has taken 20 years to complete and has been published in the new Plant Atlas.Data used to produce the report included more than three million plant records of 2,555 species collected by hundreds of botanists across Scotland.Climate change, habitat loss and the spread of non-native species were found to key threats to the health of British and Irish native plants.BSBI said devastating losses of species in Scotland were among the findings.Almost the entire British population of snow pearlwort is found on Ben Lawers, but half of the Perthshire mountain's known colonies have disappeared over the last 40 years.",0
"Keep in mind that this assumes a binary classification where higher confidence in AI-generated content means lower confidence in human-written content, and vice versa.",0
Artificial intelligence is revolutionizing healthcare.,1
Machine learning algorithms are improving financial predictions.,1
The development of autonomous vehicles is reshaping transportation.,1
Natural language processing enables computers to understand human language.,1
Neural networks play a crucial role in image recognition technology.,1
Deep learning models are enhancing the accuracy of weather forecasting.,1
Chatbots are becoming more sophisticated in customer support.,1
Quantum computing holds the potential to solve complex problems.,1
Recommender systems use AI to suggest personalized content.,1
Generative adversarial networks are used for realistic image synthesis.,1
AI is aiding in drug discovery and accelerating research.,1
Sentiment analysis algorithms help businesses gauge customer feedback.,1
Robotics is benefiting from AI advancements for more intelligent automation.,1
Predictive analytics is optimizing supply chain management.,1
AI-driven virtual assistants are improving productivity in the workplace.,1
Computer vision technology is enhancing security surveillance systems.,1
Automated content creation tools are transforming the creative industry.,1
AI-powered language translation is breaking down communication barriers.,1
Reinforcement learning is utilized in optimizing resource allocation.,1
"Autonomous drones are used for various applications, from agriculture to delivery.",1
AI is assisting in fraud detection and prevention in financial transactions.,1
Speech recognition technology is making voice-controlled devices more efficient.,1
Predictive maintenance powered by AI is reducing equipment downtime.,1
Virtual reality simulations are benefiting from AI for more realistic experiences.,1
Natural language generation is employed in automated writing and content creation.,1
AI algorithms are improving energy consumption optimization.,1
Facial recognition technology is being used in identity verification systems.,1
AI-driven personalized marketing is increasing customer engagement.,1
Machine learning models are optimizing advertising targeting strategies.,1
AI-powered medical diagnosis tools are aiding healthcare professionals.,1
Intelligent tutoring systems are enhancing personalized learning experiences.,1
Automated code review tools are improving software development processes.,1
AI is assisting in wildlife conservation efforts through data analysis.,1
Emotion recognition technology is used in human-computer interaction applications.,1
AI-driven creativity tools are aiding artists in innovative expression.,1
Self-learning algorithms are improving the efficiency of industrial processes.,1
AI is optimizing traffic flow and reducing congestion in smart cities.,1
Intelligent chatbots are enhancing user engagement on websites and apps.,1
Predictive policing models are aiding law enforcement in crime prevention.,1
AI is contributing to personalized and adaptive learning platforms.,1
Swarm robotics is enabling coordinated efforts in tasks such as search and rescue.,1
AI is being used in sentiment analysis for social media monitoring.,1
Genetic algorithms are optimizing complex problem-solving processes.,1
AI-driven virtual fashion assistants are transforming the retail experience.,1
Quantum machine learning is exploring the intersection of quantum computing and AI.,1
AI is being used in precision agriculture for crop monitoring and management.,1
Autonomous robots are being deployed for tasks in hazardous environments.,1
AI-powered speech synthesis is creating more natural and human-like voices.,1
Intelligent video analytics are improving security and surveillance systems.,1
AI is aiding in the discovery of new materials with unique properties.,1
"Kitesurfing is a thrilling water sport that combines the elements of kite flying, surfing, and windsurfing. It is a relatively new sport, but it has quickly become one of the most popular water sports in the world. Kitesurfing is powered by a large kite that is controlled by the rider using a harness and control bar. The rider uses the kite to generate power and lift, which propels them across the water on a specially designed board. Kitesurfing can be learned by people of all ages and fitness levels, but it is important to take lessons from a qualified instructor. Kitesurfing can be dangerous if not done properly, so it is important to learn the basics of safety and kite control before venturing out on your own. Your first kitesurfing lesson will typically start with a safety briefing. Your instructor will teach you how to launch and land the kite safely, as well as how to use the safety features on your equipment. Once you have a basic understanding of safety, you will begin to learn how to control the kite on the beach. This will involve learning how to move the kite around in the wind window and how to generate power. Once you are comfortable controlling the kite on the beach, you will be ready to get on the water. Your instructor will teach you how to body drag, which is the first step to learning how to ride the board. Once you have mastered body dragging, you will be ready to start trying to get up on the board. This can be a challenging process, but with patience and practice, you will be kitesurfing in no time.",1
"Blogs have sure come a long way since I first started one back in college. Back then, it was mostly just about dumping my inner thoughts online for whoever cared to read them. Hardly anyone I knew was blogging. It was so new! These days, it seems like blogs are everywhere. Funny to think how it all started with lonely college kids like me typing away. I remember the early days felt pretty aimless. There wasn’t much structure to blogs yet, so they’d just ramble on about whatever was on your mind that day. I’d spill about classes, holidays with the family, dumb stuff my friends did. I found it therapeutic to just dump it all online. Then I noticed some blogs had started reporting news, like actual journalism! That blew my mind. Around then, things started taking off. Sites like Blogger and WordPress made starting a blog so easy, so everybody jumped on. Comment sections blew up too since people could finally chat about posts. Blogs found their footing for commentary and discussion.",0
"Around the same time, businesses cottoned on to blogging’s potential. They realized consistently posting helpful content was a cheap way to become experts in their field. Next thing you know, blogs were everywhere, and it wasn’t just personal stuff anymore. Brands use them to attract customers, build loyalty, and boost their bottom line. Crazy how that took off! These days, blogging is a well-oiled machine. Sites have streamlined to make posting blogs so simple, even for non-techies like me. Themes mean you don’t need design skills. Analytics help optimize performance. It’s amazing what’s been built since my scrappy college days! Blogs sure came a long way! Gone are the casual online diaries. Now they’re powerhouse content hubs, whether personal or professional. Pretty cool to have witnessed the whole evolution firsthand.",0
"Are you curious? Let’s dive in now and discover the secret that could change the way you view how to make money online forever.",1
" It’s essentially putting other people’s products in the spotlight.In a nutshell, there is no need to worry about selling, delivering, or building complex websites. But here’s the catch: success requires patience and consistency.",1
"Now, you may be asking yourself, “If affiliate marketing is so easy, why isn’t everyone doing it?” I used to share the same skepticism, especially when scrolling through Instagram and seeing people flaunting their earnings.",0
"When someone buys through your affiliate link, you pocket a percentage of the sale. For those unfamiliar with the concept, check out our free Affiliate Kickstart Challenge.",0
"Until recently, businesses were not interested in Artificial Intelligence, but the rapid development and unique capabilities of this technology has brought to life many new and exciting AI product ideas in various industries, from Retail to Education.",1
"Improving all predictions with relevant data will help sales people focus on the most promising leads and increase revenues.",1
"Potential: Financial consultation will always be relevant to people using banking and insurance products. Chatbots and voice assistants are one of the most promising AI ideas for the future, and more technologies are likely to appear — for instance, the ones based on NLP (Natural Language Processing). According to various research, financial organizations can save globally from $5 to $7 billion on operational costs if they use a chatbot or voice assistant for customer support.Existing solutions: SEB, Bank of America, and other huge financial institutions provide virtual assistants for their customers and employees.",0
"ATMs with biometric authentication and QR code recognition are more secure and convenient for customers to use. There are many finance app ideas for a startup to consider, and a mobile banking app with biometric security, image recognition and similar features can be a great example of an AI product for FinTech.",1
"If the issue persists, you may need to further investigate the content of line 164 and the overall structure of your CSV file.",1
"These and many other examples of cyber security solutions show what one can build with AI to enhance the protection of important information and make customers feel safer.",1
"Some agreed that Google had the upper hand.",1
"I’ve written an article analyzing how Google Bard will destroy ChatGPT because it’s a long-term game, and Google has the upper hand in terms of market dominance. ChatGPT has a better product, but that doesn’t mean they’ll win the long race.",0
"With AI watermarking coming on the scene and the need for a ChatGPT Detector, you should be aware of AI probabilities for your content. Know in seconds if the content you have reads like it is written by a human or if it sounds like it came from an AI (ChatGPT, GPT-4, Bard, Claude). Then, use the AI Detector 'pro version' to produce the most humanlike AI writing possible, giving you undetectable AI content.",0
"We’ve all heard the adages about working together. And in our hyper-connected, silo-busting world full of Slack messages and co-working spaces, they’re nothing short of gospel. Businesses talk about the importance of a collaborative culture. All. The. Time.It’s a popular core value. Office spaces are designed for it. Software is purchased to facilitate it. Leadership is hired to transform it. It’s prioritized across teams, departments, and entire organizations. And it’s regarded as a “defining characteristic of creativity and innovation.” The trouble is, effective collaboration is much easier said than achieved. And there are oh so many way ways for it to go wrong.",0
"A lot of times, it just doesn’t work. Yet for some reason, how it’s done in practice is rarely talked about. There simply aren’t enough resources dedicated to helping teams get it right. And getting it right is urgently important. Especially if you’re in the business of creativity. When a creative team really gels, ideas flow freely, the output gets better, and people feel more connected to their colleagues and the work. It’s incredible. And rare. And all too often treated as a happy accident.",0
"So, let’s stop thinking of collaboration as an ambivalent buzzword and start sharing actionable ideas on how to make it happen, make it efficient, and make it deliberate. This guide is meant to do just that. It was created to be the handbook our team at Article Group needed — but couldn’t find.",0
"We hope you find it useful, too.",1
"Citing your sources is essential in academic writing. Whenever you quote or paraphrase a source (such as a book, article, or webpage), you have to include a citation crediting the original author. Failing to properly cite your sources counts as plagiarism, since you’re presenting someone else’s ideas as if they were your own. Citations are needed for several reasons: 1) To avoid plagiarism by indicating when you’re taking information from another source, 2) To give proper credit to the author of that source, and 3) To allow the reader to consult your sources for themselves. A citation is needed whenever you integrate a source into your writing. This usually means quoting or paraphrasing. To quote a source, copy a short piece of text word for word and put it inside quotation marks. To paraphrase a source, put the text into your own words. It’s important that the paraphrase is not too close to the original wording. You can use the paraphrasing tool if you don’t want to do this manually. A reference list (aka “Bibliography” or “Works Cited,” depending on the style) is where you provide full information on each of the sources you’ve cited in the text. It appears at the end of your paper, usually with a hanging indent applied to each entry. The information included in reference entries is broadly similar, whatever citation style you’re using. For each source, you’ll typically include the author name, title, publication date, container (e.g., the book an essay was published in, the journal an article appeared in), publisher, and location (e.g., a URL or DOI, or sometimes a physical location). The exact information included varies depending on the source type and the citation style. The order in which the information appears, and how you format it (e.g., capitalization, use of italics) also varies.",0
"We collected 7 free artificial intelligence(AI) tools, most of them easy to use and some more sophisticated… like building ML models. We did try to be unique and avoid many of the AI platforms you’ll find in most posts of Best AI Tools. Additionally, we wanted them to be free for testing, without caveats like adding your credit card number. Some of these we use ourselves (e.g., Lumen, JADBio), so it was important for us to include them as we truly value what they have to offer.The list is not extensive, but we plan to come back to the topic often. Consider this version I.",0
"Use our free detector to check up to 1,500 characters, and decide if you want to make adjustments before you publish.AI content detection is only available in the Writer app as an API, and is limited to checks of 1,500 characters at a time. Find out more in our help center article.",0
"The world of Artificial Intelligence continues to fascinate us.",1
"GFP-GAN is a new Free AI tool that can fix most old photos instantly. GFP-GAN (Generative Facial Prior-Generative Adversarial Network) was developed by Tencent researchers by merging info from two AI models to fill in a photo’s missing details with realistic detail in a few seconds, all the while maintaining high accuracy and quality. In this video (2:26), Louis Bouchard enthusiastically describes how well the project worked at photo restoration with details on how to use it for free. The results are very impressive and work well even with very low-quality images. You can try a demo of GFP-GAN for free.",0
"This requires taking the time to understand their business and their needs, as well as being reliable and trustworthy. By building strong relationships, you can increase your chances of making a sale and, even more importantly, retain your clients for the long-term.",1
"In this blog post, we'll take a look at what personal injury law entails and how it can help you if you've been injured due to someone else's negligence.",1
" Awesome tool that will be handy in the future of digital content.",1
"Js Bank jobs 2023 have been announced on the JS Bank official website. Positions available include Product Manager – Transactional Banking and Assistant Manager Business Process Re-engineering. Experienced and professional candidates with a bachelor’s degree in a related field can apply online before the deadline, which is from 6th December to 7th December 2023.",0
